star,n_obs,span_years,split_idx,best_combo,rho_mid_years,Q_mid,n_cycles_obs,is_const,aleatoric_frac_at_t0,valid_metric_value,lookahead_years,t0_year,gpr_med,gpr_lb68,gpr_ub68,gpr_lb95,gpr_ub95,truth_med,truth_lb,truth_ub,error,abs_error,in_68,in_95,gpr_width_68,truth_width,sampling_rate_days
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,1.0,1992.5640379739907,1993.5633535112938,1993.5633535112938,1993.5633535112938,1993.5633535112938,1993.5633535112938,1992.568780120382,1992.568780120382,1993.5555932296058,0.9945733909119099,0.9945733909119099,False,False,0.0,0.986813109223931,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,2.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1994.4975511975013,1992.568780120382,1994.5573580526059,0.024050089288948584,0.024050089288948584,True,True,0.027378507871389957,1.9885779322239614,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,3.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1995.4245574516203,1994.3480340597398,1995.5591228756057,-0.9029561648301296,0.9029561648301296,False,False,0.027378507871389957,1.2110888158658781,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,4.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1995.4245574516203,1994.3480340597398,1996.2768051368603,-0.9029561648301296,0.9029561648301296,False,False,0.027378507871389957,1.928771077120473,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,5.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.2917568506361,1995.5591228756057,1996.710404836367,-1.7701555638459467,1.7701555638459467,False,False,0.027378507871389957,1.1512819607612528,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,6.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.2917568506361,1995.5591228756057,1996.710404836367,-1.7701555638459467,1.7701555638459467,False,False,0.027378507871389957,1.1512819607612528,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,7.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.2917568506361,1995.5591228756057,1996.710404836367,-1.7701555638459467,1.7701555638459467,False,False,0.027378507871389957,1.1512819607612528,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,8.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.2917568506361,1996.142239712875,1996.7403082639198,-1.7701555638459467,1.7701555638459467,False,False,0.027378507871389957,0.5980685510448893,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,9.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.2917568506361,1996.142239712875,1996.7552599776957,-1.7701555638459467,1.7701555638459467,False,False,0.027378507871389957,0.6130202648207614,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,10.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.695453122591,1996.1870948542025,2001.7192289513684,-2.1738518358008605,2.1738518358008605,False,False,0.027378507871389957,5.532134097165908,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,11.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.695453122591,1996.1870948542025,2002.0332149406672,-2.1738518358008605,2.1738518358008605,False,False,0.027378507871389957,5.84612008646468,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,12.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.695453122591,1996.1870948542025,2002.0332149406672,-2.1738518358008605,2.1738518358008605,False,False,0.027378507871389957,5.84612008646468,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,13.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.695453122591,1996.1870948542025,2002.0332149406672,-2.1738518358008605,2.1738518358008605,False,False,0.027378507871389957,5.84612008646468,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,14.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.695453122591,1996.2319499955313,2002.1378769370997,-2.1738518358008605,2.1738518358008605,False,False,0.027378507871389957,5.905926941568396,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,15.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.7552599776957,1996.2319499955313,2006.350671810659,-2.233658690905486,2.233658690905486,False,False,0.027378507871389957,10.118721815127628,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,16.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.8150668328005,1996.2319499955313,2006.9248176196625,-2.2934655460103386,2.2934655460103386,False,False,0.027378507871389957,10.692867624131168,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,17.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.8150668328005,1996.2319499955313,2006.9373770592342,-2.2934655460103386,2.2934655460103386,False,False,0.027378507871389957,10.705427063702928,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,18.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.8150668328005,1996.2319499955313,2006.9373770592342,-2.2934655460103386,2.2934655460103386,False,False,0.027378507871389957,10.705427063702928,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,19.0,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.8150668328005,1996.2319499955313,2006.9373770592342,-2.2934655460103386,2.2934655460103386,False,False,0.027378507871389957,10.705427063702928,40.6
sim0000_ME,133,29.88847583846723,0,3sml,3.097878165639972,3.965099149163736,9.648047547503454,True,0.9765427813301584,31.637770778909246,19.5167286242297,1992.5640379739907,1994.5216012867902,1994.4942227789188,1994.5216012867902,1994.4942227789188,1994.5489797946614,1996.8300185465764,1996.2319499955313,2006.9373770592342,-2.3084172597862107,2.3084172597862107,False,False,0.027378507871389957,10.705427063702928,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,1.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1996.4711774159491,1996.4412739883974,1996.4711774159491,0.06546677296250891,0.06546677296250891,False,False,0.0821355236139425,0.029903427551744244,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,2.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1996.4711774159491,1996.4412739883974,1996.4711774159491,0.06546677296250891,0.06546677296250891,False,False,0.0821355236139425,0.029903427551744244,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,3.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1998.923258475234,1996.4711774159491,1998.923258475234,-2.386614286322356,2.386614286322356,False,False,0.0821355236139425,2.4520810592848648,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,4.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1998.923258475234,1996.4711774159491,1998.923258475234,-2.386614286322356,2.386614286322356,False,False,0.0821355236139425,2.4520810592848648,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,5.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1998.923258475234,1996.4711774159491,1998.923258475234,-2.386614286322356,2.386614286322356,False,False,0.0821355236139425,2.4520810592848648,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,6.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1998.923258475234,1998.9083067614567,2001.3902912482934,-2.386614286322356,2.386614286322356,False,False,0.0821355236139425,2.481984486836609,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,7.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1998.923258475234,1998.9083067614567,2001.3902912482934,-2.386614286322356,2.386614286322356,False,False,0.0821355236139425,2.481984486836609,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,8.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1998.9382101890099,1998.923258475234,2001.3902912482934,-2.401566000098228,2.401566000098228,False,False,0.0821355236139425,2.4670327730593726,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,9.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1998.9382101890099,1998.923258475234,2001.3902912482934,-2.401566000098228,2.401566000098228,False,False,0.0821355236139425,2.4670327730593726,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,10.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,1998.9382101890099,1998.923258475234,2001.3902912482934,-2.401566000098228,2.401566000098228,False,False,0.0821355236139425,2.4670327730593726,40.6
sim0000_ME,133,29.88847583846723,1,2sm,2.4397042632258006,4.999999999999999,12.250860191943264,True,0.995845039799807,25.774574759889937,11.0,1996.1328111978096,1996.5366441889116,1996.5366441889116,1996.6187797125256,1996.5366441889116,1996.7009152361395,2003.819944736913,1998.923258475234,2006.3094050806376,-7.283300548001307,7.283300548001307,False,False,0.0821355236139425,7.38614660540361,40.6
